"FORNECEDOR";"Valor";"C CUSTO";"Tipo de Despesa";"Gerente Responsavel"
"SAFEWAY CONSULTORIA EMPRESARIAL LTDA EPP";25878,03;"160010";"VARREDURA SI";
"ASSOC BRAS DAS EMPRS DE CARTOES DE CREDT";543,48;"180040";"ASSOCIAÇÃO";
"ITAU UNIBANCO S.A";14111,36;"120000";;"Osvaldo"
"CHARTIS SEGUROS BRASIL S.A.";1,06;"140010";"SEGUROS";
"LUI LIBERTY INT UNDERWRIT";11222,13;"140010";;
"ALEXANDRE B. DOS SANTOS INFORMATICA";28555,20;;;
"SJC ADMINISTRACAO DE TERCEIROS S/S LTDA";17553,44;"180040";"CARD CLIPPING";
"ASSOCIACAO DAS EMPRESAS DELEGATARIAS";27721,82;"140020";;
"UL DO BRASIL LTDA";1124,00;;;
"ABILIO FURLANETTO JUNIOR";14662,40;"140010";"FRUTAS ";
"MT GESTAO EDITORIAL LTDA";12,50;;;
"ELISEU FALCAO TEIXEIRA MORENO";0,23;;;
"CAMARA DE DIRIGENTES LOJISTAS DA REGIAO";157,88;"180040";;
"TECNICA JET LTDA - ME";23,70;;;
"FASTSPRING";15,60;;;
"CG SERVICOS DE PREPARACAO DE DOCUMENTOS";5308,80;;;
"AMPRO ASSOCIACAO DE MARETING PROMOCIONA";1,50;"180000";"MKT";
"ASSOCIACAO DE ENSINO SOCIAL PROFISSIONAL";3,00;"140010";"VER RH";
"SOPHIA FERNANDES NABUCO DE ABREU";2,50;;;
"B.I DAYRELL ME";79,00;"140010";"CONFRATERNIZAÇÃO ";
"NATASHA PRIME COMERCIO DE BRINDES LTDA";10,40;;;
"MAILCHIMP";114,27;;;
"RENATO CABRAL DA SILVA";3,20;;;
"AGEU ALEXANDRE GOMES DOS SANTOS 36729436";1,16;;;
"ILUSA GUIMARAES DE OLIVEIRA ALVES 21963";2,08;;;
"MAY RODRIGUES SILVA 09147203684";12,90;;;
"DANIEL ALVES DE OLIVEIRA";15,80;;;
